target_x,target_y,l_rel_x,l_rel_y,r_rel_x,r_rel_y,pitch,yaw,roll,eye_aspect_ratio
0.05,0.05,-0.4058730182053279,-0.10165651586170416,0.6489058661399323,-0.0583992140038684,7.653466464928044,25.182704579567428,2.824170650941973,0.3801172663098118
0.05,0.05,-0.4066170633089009,-0.10141655742850285,0.6492432388499062,-0.05721648665893759,7.45874154292531,25.28850051961489,3.009663661416967,0.3760526868115741
0.05,0.05,-0.3982869930728856,-0.09348337787004116,0.6441510369553974,-0.10055958982782298,8.34517047861263,25.466212226347483,3.005624028947326,0.3870384158249501
0.05,0.05,-0.40157018096030983,-0.10620411614096555,0.6386069325655408,-0.08462444783214683,8.537354995358697,25.62085697732649,2.820058715609847,0.3795888832910822
0.05,0.05,-0.41278114470646726,-0.10201978756004562,0.6566113825209533,-0.08986021049516726,8.723745792481566,25.51701971694733,2.6714356150693828,0.3734302588526863
0.05,0.05,-0.4145650206470004,-0.07537391772710784,0.6409906791955473,-0.07181665607843508,8.263821888904715,25.380671804820835,2.556964668902587,0.37541572231695075
0.05,0.05,-0.42800901926381346,-0.08414142988682419,0.6304594875974049,-0.06962733337196196,10.048486866849714,25.14875034466462,2.8134570066956632,0.3658183350699484
0.05,0.05,-0.42498274149737114,-0.08187604880326028,0.630039365498711,-0.06640863939476953,9.273287579888319,25.04971196214762,2.8396760462864648,0.36891109762276586
0.05,0.05,-0.4271020208593236,-0.06622529651373904,0.6609258295472128,-0.06329830878801945,9.256982638421334,24.858696714681535,3.0315770947486187,0.3606579660996676
0.05,0.05,-0.43057652113330236,-0.07358600281583837,0.6507982009494778,-0.061705654293937005,9.444196662516703,24.822244921561524,2.797328531811818,0.3610762912104103
0.05,0.05,-0.44228769870840656,-0.06509277099131097,0.610567995037844,-0.07515173944526948,9.499818963374878,24.497206079239056,2.969937466700587,0.3596690611719584
0.05,0.05,-0.4461868269133385,-0.0791367985925901,0.5760432345699912,-0.07341697733386818,11.209620668591072,23.485388467906418,2.627841074116641,0.3594546970476779
0.05,0.05,-0.45814743998300406,-0.0814660136638601,0.6047240572781863,-0.06304486497980012,11.306794237641668,22.70728507733846,2.79782308304875,0.3607054105585454
0.05,0.05,-0.44890988627717415,-0.06419748858236157,0.6070021344844226,-0.056248838212307486,11.500379119143645,22.02530722089134,2.9374354580913806,0.3784874803133661
0.05,0.05,-0.453278299030067,-0.06599550905177634,0.5808144592926214,-0.09615677080332237,11.861733244645052,20.764852623226442,2.679917297845967,0.3423417786367296
0.05,0.05,-0.4575754000007375,-0.06460993705450482,0.5961478138373006,-0.0837888036987679,11.464927153535172,19.863496961523584,2.9794738056513657,0.34620571890235685
0.05,0.05,-0.48514701743839894,-0.029743774803628963,0.5554381826755846,-0.05891925429295023,12.33884884556798,17.709165951116827,1.5616439309664658,0.3667722437554507
0.05,0.05,-0.48816097279397247,-0.028205746532788505,0.5621500097044806,-0.059727034526385406,12.031890527438861,15.897204453985147,1.627218848981261,0.366488825955801
0.05,0.05,-0.4835235498730845,-0.06144730657140171,0.5310312007048432,-0.0892303777140185,12.357463299794176,13.586728139816469,0.5762053103365373,0.35509424264996176
0.05,0.05,-0.48508759834300175,-0.06577158593687792,0.5232881720489972,-0.07938902822974632,12.005434124059462,11.282689056796912,0.2978508897905403,0.3594845420673892
0.05,0.05,-0.4850074363427618,-0.07223778363848653,0.5287317822290797,-0.07681189121746125,11.037600288544752,8.573554450279369,-0.5621641905195134,0.3629279405276928
0.05,0.05,-0.480833264642228,-0.06210235038598012,0.5369365980470936,-0.1021677130771358,11.614612730358203,6.39328036436706,-0.15646377720342833,0.36122413185461266
0.05,0.05,-0.4876306928938508,-0.07258353515663457,0.546611821458756,-0.1013674742602026,10.673089017250902,4.117125454560084,-0.07916990910360779,0.350077880664603
0.05,0.05,-0.49835099146638084,-0.04465360514490663,0.5301551072475161,-0.07219055265126688,10.881269638448458,1.5020175462519436,-0.9962099891149075,0.3529848244080187
0.05,0.05,-0.4778111645993408,-0.06601077158215411,0.5359894039635775,-0.0782066976998802,10.501837806018784,-0.940468295835521,-0.8367964985340364,0.34753180416357426
0.05,0.05,-0.4788165680473373,-0.05777016505761445,0.5360146553629562,-0.0767997025470811,10.759299413297185,-3.1264054192573263,-0.8538779327611558,0.34715771686529384
0.05,0.05,-0.4846021806226377,-0.07230758693120848,0.5264377919181624,-0.0899503008597998,9.922699048621496,-5.274143681728262,-1.1968062357138298,0.3722586445412112
0.05,0.05,-0.47939228951980967,-0.07236830963852361,0.5137453368623541,-0.07831875728140827,10.240406914594018,-7.34954130745435,-1.2583460830765083,0.3755694668098087
0.05,0.05,-0.47284306169634527,-0.06598639110858719,0.51025725286221,-0.07611044519499938,10.42007776863548,-9.364972316218543,-1.3246176582841687,0.3528290764848413
0.05,0.05,-0.4550227497124477,-0.06847663446759565,0.5080016731619961,-0.0837958182154308,10.229102359281029,-11.138853272692392,-1.1746820970347642,0.3499908394125248
0.05,0.05,-0.48667047768468136,-0.08525501134960109,0.4967379335657919,-0.08336942558267572,9.66506593599351,-12.94654945864389,-0.8424730746755367,0.35707479303356215
